Designator,Footprint,Quantity,Value,LCSC Part #
"C11_2, C11, C29_2, C29, C33_2, C33, C37_2, C37, C39_2, C39, C5_2, C5, C7_2, C7",1206,14,4.7uF,C412300
"C15_2, C15, C27_2, C27",805,4,220pF,
"C17_2, C17, C18_2, C18, C21_2, C21, C22_2, C22",805,8,100nF,
"C25_2, C25",805,2,22nF,
"C34_2, C34",805,2,470nF,
"C49_2, C49, C50_2, C50",805,4,0.1uF,
"D1_2, D1",D_SMB_Handsoldering,2,D,C86598
"L1_2, L1, L2_2, L2, L5_2, L5, L6_2, L6",L_Wuerth_HCI-1365,8,47uH,C2847587
"R1_2, R1, R52_2, R52",RES_WSR2,4,0.05Ω,C144420
"R10_2, R10",805,2,0Ω,
"R12_2, R12",805,2,1kΩ,
"R14_2, R14",805,2,1.3MΩ,
"R15_2, R15",805,2,680Ω,
"R16_2, R16",805,2,100kΩ,
"R24_2, R24",DIO_RBQ10BM_ROM,2,RBR15BM60AFHTL,
"R30_2, R30, R31_2, R31, R33_2, R33, R34_2, R34",805,8,10Ω,
"R5_2, R5",805,2,3.3MΩ,
"R7_2, R7",805,2,110kΩ,
"U10_2, U10, U9_2, U9",DCK6_TEX,4,INA213,C2878840
