Designator,Mid X,Mid Y,Rotation,Layer
_3,190.0,-150.0,0.0,top
_2,100.0,-150.0,0.0,top
,190.0,-37.0,0.0,top
C1_2,119.005,-85.2275,270.0,top
C1,118.985,-136.1075,270.0,top
C11_2,142.7175,-72.065,0.0,top
C11,142.6975,-122.945,0.0,top
C13_2,131.855,-90.9025,270.0,top
C13,131.835,-141.7825,270.0,top
C15_2,139.13,-91.0025,270.0,top
C15,139.11,-141.8825,270.0,top
C17_2,137.88,-73.0525,90.0,top
C17,137.86,-123.9325,90.0,top
C18_2,120.785,-128.2075,90.0,top
C18,120.805,-77.3275,90.0,top
C2_2,117.5225,-140.645,180.0,top
C2,117.5425,-89.765,180.0,top
C21_2,152.78,-73.3275,270.0,top
C21,152.76,-124.2075,270.0,top
C22_2,170.13,-77.2025,270.0,top
C22,170.11,-128.0825,270.0,top
C25_2,154.685,-87.31,180.0,top
C25,154.665,-138.19,180.0,top
C27_2,157.8025,-86.2825,270.0,top
C27,157.7825,-137.1625,270.0,top
C29_2,148.0925,-72.065,180.0,top
C29,148.0725,-122.945,180.0,top
C31_2,162.4175,-87.365,0.0,top
C31,162.3975,-138.245,0.0,top
C33_2,131.905,-73.8775,90.0,top
C33,131.885,-124.7575,90.0,top
C34_2,148.43,-86.9775,270.0,top
C34,148.41,-137.8575,270.0,top
C37_2,158.635,-124.5525,270.0,top
C37,158.655,-73.6725,270.0,top
C39_2,162.5,-124.4825,270.0,top
C39,162.52,-73.6025,270.0,top
C45_2,108.0975,-99.445,0.0,top
C45,108.1175,-48.565,0.0,top
C46_2,182.2925,-47.815,0.0,top
C46,182.2725,-98.695,0.0,top
C49_2,118.285,-96.4075,270.0,top
C49,118.305,-45.5275,270.0,top
C5_2,115.555,-85.2525,270.0,top
C5,115.535,-136.1325,270.0,top
C50_2,168.955,-45.8275,90.0,top
C50,168.935,-96.7075,90.0,top
C7_2,128.11,-124.7575,90.0,top
C7,128.13,-73.8775,90.0,top
C9_2,111.895,-136.0575,270.0,top
C9,111.915,-85.1775,270.0,top
D1_2,126.035,-135.87,180.0,top
D1,126.055,-84.99,180.0,top
IN_CURRENT_2,123.635,-97.43,180.0,top
IN_CURRENT,123.655,-46.55,180.0,top
J6_2,148.95,-141.815,90.0,top
J6,148.97,-90.935,90.0,top
J8_4,102.33,-87.65,270.0,top
J8_3,186.855,-87.58,270.0,top
J8_2,186.835,-138.46,270.0,top
J8,102.31,-138.53,270.0,top
L1_2,137.64,-112.97,270.0,top
L1,137.66,-62.09,270.0,top
L2_2,122.39,-112.995,270.0,top
L2,122.41,-62.115,270.0,top
L5_2,153.065,-112.92,270.0,top
L5,153.085,-62.04,270.0,top
L6_2,168.53,-62.065,270.0,top
L6,168.555,-112.89,270.0,top
OUT_CURRENT_2,161.93,-47.515,0.0,top
OUT_CURRENT,161.91,-98.395,0.0,top
R1_2,182.3543,-115.27,180.0,top
R1,182.3743,-64.39,180.0,top
R10_2,139.155,-87.0025,90.0,top
R10,139.135,-137.8825,90.0,top
R12_2,154.71,-84.91,0.0,top
R12,154.69,-135.79,0.0,top
R14_2,168.23,-83.49,0.0,top
R14,168.21,-134.37,0.0,top
R15_2,164.51,-134.345,180.0,top
R15,164.53,-83.465,180.0,top
R16_2,161.47,-84.2875,270.0,top
R16,161.45,-135.1675,270.0,top
R20_2,145.855,-137.6725,90.0,top
R20,145.875,-86.7925,90.0,top
R24_2,186.73,-73.265,0.0,top
R24,186.71,-124.145,0.0,top
R30_2,103.5458,-52.015,270.0,top
R30,103.5258,-102.895,270.0,top
R31_2,111.58,-51.815,270.0,top
R31,111.56,-102.695,270.0,top
R33_2,177.235,-102.395,270.0,top
R33,177.255,-51.515,270.0,top
R34_2,186.335,-102.395,270.0,top
R34,186.355,-51.515,270.0,top
R5_2,132.8475,-134.395,180.0,top
R5,132.8675,-83.515,180.0,top
R52_2,107.5993,-75.765,180.0,top
R52,107.5793,-126.645,180.0,top
R6_2,136.9175,-83.515,180.0,top
R6,136.8975,-134.395,180.0,top
R7_2,136.055,-91.0025,90.0,top
R7,136.035,-141.8825,90.0,top
U1_2,145.129,-79.214999,180.0,top
U1,145.109,-130.094999,180.0,top
U10_2,173.4021,-45.289999,0.0,top
U10,173.3821,-96.169999,0.0,top
U9_2,112.5379,-96.795001,180.0,top
U9,112.5579,-45.915001,180.0,top
